TTNBR,SERVICEACCTNBR,ServiceType,TROUBLECODEDESC,CONTACTDATETIME,Longitude,Latitude
499309,261676,Network,NET-No Internet Connection,3-May-17,-80.584489,37.120134
499310,722659,Network,NET-No Internet Connection,3-May-17,-80.721989,38.962471
499312,653488,VOIP-Res-ShenTel Cable,TEL-No Dial Tone,3-May-17,-79.053739,37.278718
499313,333504,Cable,CAB-Loss of All Channels,3-May-17,-79.635122,37.019271
499315,245329,Cable - Business Customer,CAB-Equipment,3-May-17,-81.06846,36.95098
499317,422155,Cable,CAB-Equipment,3-May-17,-78.822708,37.348629
499322,717439,Network-Res DSL,NET-Slow Speed,3-May-17,-78.357744,38.995677
499624,671086,Network,NET-Maestro,5-May-17,-79.147049,37.257481
499625,709362,Network,NET-No Internet Connection,5-May-17,-79.516227,37.338038
499626,579187,Network,NET-No Internet Connection,5-May-17,-79.884962,36.989159
499627,191248,Cable,Drop - Aerial,5-May-17,-80.816144,38.937507
499628,234137,Cable,CAB-Loss of All Channels,5-May-17,-78.003256,37.069409
499630,729293,Cable,Drop - Aerial,5-May-17,-80.424182,37.135182
499631,727522,Cable,Drop - Aerial,5-May-17,-80.431739,37.153508
499633,727522,Cable,Drop Bury - Post Install,5-May-17,-80.431739,37.153508
499634,564918,VOIP-Res-ShenTel Cable,TEL-No Dial Tone,5-May-17,-80.467647,37.752678
499635,726644,Network,Drop Bury - Post Install,5-May-17,-80.424182,37.135182
499024,488278,Network - Business Cust,NET-No Internet Connection,2-May-17,-80.407722,38.482814
499025,8841,Residential Phone,TEL-No Dial Tone,2-May-17,-78.638592,38.75079
499027,21343,Cable,CAB-Loss of All Channels,2-May-17,-78.501339,38.933783
499029,728928,Prospect Account,Serviceability Check - RES,2-May-17,-80.415614,37.120914
499031,240344,Cable,CAB-Loss of All Channels,2-May-17,-79.272057,37.341326
499032,728930,Prospect Account,Serviceability Check - RES,2-May-17,-79.489634,37.34699
499034,728932,Prospect Account,Serviceability Check - BUS,2-May-17,-80.839479,38.309509
499035,728931,Prospect Account,Serviceability Check - RES,2-May-17,-80.400522,38.480007
499037,410168,Network - Business Cust,NET-No Internet Connection,2-May-17,-80.371009,37.135023
499039,583935,Cable,CAB-Loss of All Channels,2-May-17,-78.552351,38.8135
499324,268240,Cable,CAB-Loss of All Channels,3-May-17,-79.721716,37.050387
499325,191775,Cable,TD-Reconnect,3-May-17,-81.142978,37.979826
499327,662564,Cable,CAB-Equipment,3-May-17,-78.555194,36.62062
499329,247694,Cable,CAB-Loss of All Channels,3-May-17,-81.419638,37.38892
499330,728759,Network-Res DSL,NET-No Internet Connection,3-May-17,-78.508986,38.881306
499332,710638,1-Res Cable Modem,NET-No Internet Connection,3-May-17,-78.427858,38.938331
499333,675595,VOIP-Res-ShenTel Cable,TEL-No Dial Tone,3-May-17,-80.449946,37.755131
499335,264883,Cable,CAB-Loss of All Channels,3-May-17,-79.895019,36.986904
499338,61038,Residential Phone,TEL-No Dial Tone,3-May-17,-78.809612,38.750604
499340,64093,Network-Res DSL,NET-Intermittent Connection,3-May-17,-78.823071,38.760811
499342,607821,Network,NET-No Internet Connection,3-May-17,-79.867044,36.967455
499343,254618,Cable,CAB-Loss of Some Channels,3-May-17,-80.413085,37.128603
499344,40492,Network-Res DSL,NET-No Internet Connection,3-May-17,-78.816348,38.76921
499345,269224,Network,NET-Intermittent Connection,3-May-17,-82.347616,36.849093
499638,240530,Network,NET-Intermittent Connection,5-May-17,-79.276923,37.330297
499639,629561,Network-Res DSL,NET-Intermittent Connection,5-May-17,-78.453708,39.026121
499646,728609,Cable,Drop Bury - Post Install,5-May-17,-79.315294,37.407638
499647,636227,VOIP-Res-ShenTel Cable,TEL-No Dial Tone,5-May-17,-79.516675,37.358416
499648,729546,Prospect Account,Serviceability Check - RES,5-May-17,-78.763545,38.786487
499651,555084,Network,Drop Bury - Post Install,5-May-17,-79.205484,39.008067
499653,124632,Cable,CAB-Loss of Some Channels,5-May-17,-79.822998,37.818764
499654,229360,Network,NET-No Internet Connection,5-May-17,-81.573972,37.744189
499655,268290,Network,NET-Intermittent Connection,5-May-17,-79.700223,37.04582
498734,553594,Residential Phone,TEL-No Dial Tone,1-May-17,-78.520528,38.870149
498736,462535,VOIP-Res-ShenTel Cable,TEL-No Long Distance,1-May-17,-79.516602,37.359693
498738,728697,Prospect Account,Serviceability Check - RES,1-May-17,-79.172268,37.260066
498739,245454,Network - Business Cust,NET-No Internet Connection,1-May-17,-81.076643,36.957492
498742,418417,VOIP-Res-ShenTel Cable,TEL-Not Receiving Calls,1-May-17,-81.679582,37.628967
498744,507339,VOIP-Res-ShenTel Cable,TEL- Maestro,1-May-17,-80.821409,38.313014
498746,648571,Cable,TD-Non-Payment Disco,1-May-17,-78.37741,37.297485
498751,473765,VOIP-Res-ShenTel Cable,TEL-No Dial Tone,1-May-17,-77.729797,39.323199
498752,188599,Cable,CAB-Loss of Some Channels,1-May-17,-80.856768,38.282569
499042,197390,Network-Res DSL,NET-No Internet Connection,2-May-17,-78.366305,38.993565
499044,632826,Network,NET-Slow Speed,2-May-17,-79.258931,37.30667
499045,56273,Cable,CAB-Equipment,2-May-17,-78.358114,38.995805
499046,728947,Prospect Account,Serviceability Check - RES,2-May-17,-79.560912,37.309054
499048,721692,1-Res Cable Modem,NET-Intermittent Connection,2-May-17,-78.352548,38.989746
499049,728960,Prospect Account,Serviceability Check - RES,2-May-17,-79.315359,37.129111
499050,234749,Cable,CAB-Loss of All Channels,2-May-17,-79.263135,37.30801
499052,431922,Cable,CAB-Maestro,2-May-17,-79.263706,37.307989
499053,388471,VOIP-Bus ShenTel Cable,TEL-Not Receiving Calls,2-May-17,-77.998497,37.078527
499054,659834,Cable,TD-Reconnect,2-May-17,-81.60005,37.663282
499055,493199,VOIP-Res-ShenTel Cable,TEL-No Dial Tone,2-May-17,-79.255916,37.308014
499346,409194,Network,NET-No Internet Connection,3-May-17,-79.155055,37.284261
499347,527566,Network,NET-No Internet Connection,3-May-17,-80.478549,39.015917
499349,10227,Business Phone,TEL-Calls Dropping,3-May-17,-78.796312,38.75642
499353,585708,Cable,CAB-Poor Quality-All Channels,3-May-17,-80.440805,39.128502
499356,721550,Cable,CAB-Poor Quality-All Channels,3-May-17,-79.495576,37.331467
499358,5231,Residential Phone,TEL-Features Not Working,3-May-17,-78.507985,38.884024
499360,312750,Special Circuit,SPC-Special Circuit Issue,3-May-17,-78.519034,38.867525
499362,35589,Network-Res DSL,NET-No Internet Connection,3-May-17,-78.691751,38.890154
499363,712593,Cable,CAB-Equipment,3-May-17,-78.504682,38.885392
499365,658017,Cable,CAB-Loss of All Channels,3-May-17,-79.236582,37.306441
499366,567538,Network,NET-No Internet Connection,3-May-17,-80.454816,37.728654
499367,33622,Network-Res DSL,NET-No Internet Connection,3-May-17,-78.665305,38.656798
499368,666170,Network,NET-Intermittent Connection,3-May-17,-80.56761,37.114199
499369,190468,Network,NET-No Internet Connection,3-May-17,-80.478798,39.037597
